编号,名称,类别,链接,,
[1],Internet-augmented language models through few-shot prompting for open-domain question answering,学术界论文,https://arxiv.org/abs/2203.05115,,
[2],ChatDB,学术界论文,https://arxiv.org/abs/2306.03901,,
[3],CodeNav,学术界论文,https://arxiv.org/abs/2406.12276,,
[4],ReAct,学术界论文,https://arxiv.org/abs/2210.03629,,
[5],ToolLLM,学术界论文,https://arxiv.org/abs/2307.16789,,
[6],AgentFlow,学术界论文,https://openreview.net/forum?id=Mf5AleTUVK,,
[7],ToolACE-R,学术界论文,https://arxiv.org/abs/2504.01400,,
[8],What are tools anyway? a survey from the language model perspective,学术界论文,https://arxiv.org/abs/2403.15452,,
[9],Tool learning with foundation models,学术界论文,https://dl.acm.org/doi/epdf/10.1145/3704435,,
[10],"A review of prominent paradigms for llm-based agents: Tool use (including rag) ), planning, and feedback learning,",学术界论文,https://arxiv.org/abs/2406.05804,,
[11],Tool learning with large language models: A survey,学术界论文,https://arxiv.org/abs/2405.17935,,
[12],"Tool learning with language models: a comprehensive survey of methods, pipelines, and benchmarks",学术界论文,https://link.springer.com/article/10.1007/s44336-025-00024-x,,
[13],Agentic tool use in large language models,学术界论文,https://arxiv.org/abs/2604.00835,,
[14],"Toward efficient agents: Memory,tool learning, and planning,",学术界论文,https://arxiv.org/abs/2601.14192,,
[15],Augmented language models: a survey,学术界论文,https://arxiv.org/pdf/2302.07842,,
[16],Toolformer,学术界论文,https://arxiv.org/abs/2302.04761,,
[17],VisProg,学术界论文,https://arxiv.org/abs/2211.11559,,
[18],MRKL Systems,学术界论文,https://arxiv.org/abs/2205.00445,,
[19],WebShop,学术界论文,https://arxiv.org/abs/2207.01206,,
[20],ViperGPT,学术界论文,https://arxiv.org/abs/2303.08128,,
[21],Voyager,学术界论文,https://arxiv.org/abs/2305.16291,,
[22],GPT-4,学术界论文,https://arxiv.org/abs/2303.08774,,
[23],GPT4Tools,学术界论文,https://arxiv.org/abs/2305.18752,,
[24],Chameleon,学术界论文,https://arxiv.org/abs/2304.09842,,
[25],ChemCrow,学术界论文,https://arxiv.org/abs/2304.05376,,
[26],Gorilla,学术界论文,https://arxiv.org/abs/2305.15334,,
[27],HuggingGPT,学术界论文,https://arxiv.org/abs/2303.17580,,
[28],TxAgent,学术界论文,https://arxiv.org/abs/2503.10970,,
[29],ToolGen,学术界论文,https://arxiv.org/abs/2410.03439,,
[30],GIS Copilot,学术界论文,https://www.tandfonline.com/doi/full/10.1080/17538947.2025.2497489,,
[31],T3-Agent,学术界论文,https://openreview.net/forum?id=0bmGL4q7vJ,,
[32],AgentTrek,学术界论文,https://openreview.net/forum?id=EEgYUccwsV,,
[33],ControlLLM,学术界论文,https://doi.org/10.1007/978-3-031-73254-6_6,,
[34],xLAM,学术界论文,https://aclanthology.org/2025.naacl-long.578/,,
[35],ToolACE,学术界论文,https://openreview.net/forum?id=8EB8k6DdCU,,
[36],EasyTool,学术界论文,https://aclanthology.org/2025.naacl-long.44/,,
[37],Codex,业界产品,https://openai.com/index/codex-for-knowledge-work/,,
[38],Gemini Robotics,业界产品,https://deepmind.google/blog/gemini-robotics-15-brings-ai-agents-into-the-physical-world/,,
[39],Gemini,业界产品,https://ai.google.dev/gemini-api/docs/function-calling,,
[40],Claude,业界产品,https://claude.com/blog/dispatch-and-computer-use,,
[41],OpenClaw,业界产品,https://openclaw.ai/,,
[42],Neural symbolic machines: Learning semantic parsers on freebase with weak supervision,学术界论文,https://aclanthology.org/P17-1003/,,
[43],Neuro-symbolic program synthesis,学术界论文,https://www.microsoft.com/en-us/research/publication/neuro-symbolic-program-synthesis-2/,,
[44],Polyglot semantic parsing in apis,学术界论文,https://aclanthology.org/N18-1066/,,
[45],MathSensei,学术界论文,https://aclanthology.org/2024.naacl-long.54/,,
[46],SPOC,学术界论文,https://arxiv.org/abs/2312.02976,,
[47],Intelligent agents with llm-based process automation,学术界论文,https://dl.acm.org/doi/10.1145/3637528.3671646,,
[48],Tool use with claude,业界产品,https://platform.claude.com/docs/en/agents-and-tools/tool-use/overview,,
[49],Inference providers,业界产品,https://huggingface.co/docs/inference-providers/index,,
[50],MCP,业界产品,https://modelcontextprotocol.io/,,
[51],WebGPT,学术界论文,https://modelcontextprotocol.io/,,
[52],ToolTalk,学术界论文,https://arxiv.org/abs/2311.10775,,
[53],DocPrompting,学术界论文,https://arxiv.org/abs/2207.05987,,
[54],ToolShed,学术界论文,https://arxiv.org/abs/2410.14594,,
[55],GEAR,学术界论文,https://aclanthology.org/2024.eacl-long.7/,,
[56],ART,学术界论文,https://arxiv.org/abs/2303.09014,,
[57],AVIS,学术界论文,https://papers.nips.cc/paper_files/paper/2023/hash/029df12a9363313c3e41047844ecad94-Abstract-Conference.html,,
[58],OpenAGI,学术界论文,https://openreview.net/forum?id=gFf0a0ZxJM,,
[59],TALM,学术界论文,https://arxiv.org/abs/2205.12255,,
[60],Confucius,学术界论文,https://ojs.aaai.org/index.php/AAAI/article/view/29759,,
[61],SmallLLM,学术界论文,https://aclanthology.org/2024.emnlp-main.929/,,
[62],ToolBench,学术界论文,https://openreview.net/forum?id=d5ogyvdl1X,,
[63],ToolDocumentation,学术界论文,https://arxiv.org/abs/2308.00675,,
[64],Langchain hub documentation,业界产品,https://python.langchain.com/docs/hub/,,
[65],A comprehensive evaluation of tool-assisted generation strategies,学术界论文,https://aclanthology.org/2023.findings-emnlp.926/,,
[66],RestGPT,学术界论文,https://arxiv.org/abs/2306.06624,,
[67],ShortcutsBench,学术界论文,https://proceedings.iclr.cc/paper_files/paper/2025/file/c16a99558b0b4f6b10966ca9bdb98ade-Paper-Conference.pdf,,
[68],ToolQA,学术界论文,https://arxiv.org/abs/2306.13304,,
[69],StableToolBench,学术界论文,https://aclanthology.org/2024.findings-acl.664/,,
[70],MetaTool,学术界论文,https://arxiv.org/abs/2310.03128,,
[71],ToolSandbox,学术界论文,https://aclanthology.org/2025.findings-naacl.65/,,
[72],TaskBench,学术界论文,https://proceedings.neurips.cc/paper_files/paper/2024/file/085185ea97db31ae6dcac7497616fd3e-Paper-Datasets_and_Benchmarks_Track.pdf,,
[73],WTU-Eval,学术界论文,https://ieeexplore.ieee.org/document/10889153/,,
[74],API-BLEND,学术界论文,https://aclanthology.org/2024.acl-long.694/,,
[75],Seal-Tools,学术界论文,https://arxiv.org/abs/2405.08355,,
[76],GeoLLM-QA,学术界论文,https://arxiv.org/abs/2405.00709,,
[77],T-Eval,学术界论文,https://aclanthology.org/2024.acl-long.515/,,
[78],UltraTool,学术界论文,https://aclanthology.org/2024.findings-acl.259/,,
[79],ToolEyes,学术界论文,https://aclanthology.org/2025.coling-main.12/,,
[80],CToolEval,学术界论文,https://aclanthology.org/2024.findings-acl.928/,,
[81],AppWorld,学术界论文,https://aclanthology.org/2024.acl-long.850/,,
[82],API-Bank,学术界论文,https://aclanthology.org/2023.emnlp-main.187/,,
[83],RoTBench,学术界论文,https://aclanthology.org/2024.emnlp-main.19,,
[84],ToolSword,学术界论文,https://aclanthology.org/2024.acl-long.119,,
[85],ToolEmu,学术界论文,https://openreview.net/forum?id=GEcwtMk1uA,,
[86],ToolLens,学术界论文,https://dl.acm.org/doi/10.1145/3627673.3679847,,
[87],m&m's,学术界论文,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01486.pdf,,
[88],VIoTGPT,学术界论文,https://ojs.aaai.org/index.php/AAAI/article/view/33160,,
[89],BFCL,学术界论文,https://icml.cc/virtual/2025/poster/46593,,
[90],ComplexFuncBench,学术界论文,https://arxiv.org/abs/2501.10132,,
[91],MCP-Universe,学术界论文,https://arxiv.org/abs/2508.14704,,
[92],LiveMCPBench,学术界论文,https://arxiv.org/abs/2508.01780,,
[93],NexusRaven-V2,业界产品,https://nexusflow.ai/blogs/ravenv2,,
[94],WTQ,学术界论文,https://aclanthology.org/P15-1142/,,
[95],OpenCodeInstruct,学术界论文,https://arxiv.org/abs/2504.04030,,
[96],Spider,学术界论文,https://aclanthology.org/D18-1425/,,
[97],ChatGPT for Robotics,学术界论文,https://ieeexplore.ieee.org/document/10500490,,
[98],ROUGE,学术界论文,https://aclanthology.org/W04-1013/,,
[99],Artificial Analysis,业界产品,https://artificialanalysis.ai/?intelligence-tab=coding&intelligence=artificial-analysis-intelligence-index,,
[100],Access control for trusted data sharing,学术界论文,https://eurasipjournals.springeropen.com/articles/10.1186/s13635-024-00178-z,,
[101],SafeToolBench,学术界论文,https://aclanthology.org/2025.findings-emnlp.958/,,
[102],ClickAgent,学术界论文,https://aclanthology.org/2025.sigdial-1.38/,,
[103],Gemini Live,业界产品,https://gemini.google/overview/gemini-live/,,
[104],DeepSeek-R1,学术界论文,https://arxiv.org/abs/2501.12948,,
[105],Agent Models,学术界论文,https://arxiv.org/abs/2503.06580,,
[106],ReasonGraph,学术界论文,https://aclanthology.org/2025.acl-demo.14/,,
[107],Claude can now use tools,业界产品,https://www.claude.com/blog/tool-use-ga,,
[108],Computer-using Agent,业界产品,https://openai.com/zh-Hans-CN/index/computer-using-agent/,,
[109],MMedAgent,学术界论文,https://aclanthology.org/2024.findings-emnlp.510/,,
[110],ChatLaw,学术界论文,https://arxiv.org/abs/2306.16092,,
[111],FinRobot,学术界论文,https://dl.acm.org/doi/10.1145/3677052.3698645,,
[112],Equipping language models with tool use capability for tabular data analysis in finance,学术界论文,https://aclanthology.org/2024.eacl-short.10/,,
